System,Accuracy,Precision,Recall,F1-Score,ROC-AUC,FPR
ModSecurity CRS v3,0.8179,0.8298,0.7,0.7594,0.8,0.1
LSTM Baseline,0.7067,0.635,0.671,0.6525,0.7836,0.27
Transformer,0.9205,0.9415,0.8598,0.8988,0.9853,0.0372
Bi-LSTM (Proposed),0.9602,0.9953,0.9072,0.9492,0.995,0.003
