Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LSTM Baseline,0.7067,0.635,0.671,0.6525,0.7836
Bi-LSTM,0.9602,0.9953,0.9072,0.9492,0.995
Transformer,0.9205240174672489,0.9414676761793827,0.8598404255319149,0.898804559355018,0.9853182131599686
